hdi_ranking;neighbourhood;per_capita_income_2000;longevity_index;education_index;income_index;human_development_index
115;Inhoaíba;207,6086534;0,683111234;0,89548497;0,663444062;0,747346755
116;Camorim, Vargem Pequena, Vargem Grande;279,0935408;0,688297192;0,836277612;0,712833694;0,745802833
117;Parada de Lucas;220,2685528;0,672461876;0,889692561;0,673324364;0,7451596
118;Guaratiba, Barra de Guaratiba, Pedra de Guaratiba;234,3667942;0,694412264;0,85279729;0,683679918;0,743629824
119;Santa Cruz;206,2311177;0,675360647;0,88735809;0,66233283;0,741683856
120;Rocinha;219,9534292;0,705545045;0,817709134;0,673085395;0,732113191
121;Jacarezinho;177,9803367;0,688297192;0,866965609;0,637741785;0,731001529
122;Manguinhos;188,8647597;0,688297192;0,842026583;0,647649705;0,72599116
123;Maré;187,2476949;0,692967315;0,825569097;0,646214398;0,721583604
124;Acari, Parque Colúmbia;174,1225406;0,648786383;0,876010434;0,634083989;0,719626935
125;Costa Barros;174,9966329;0,648786383;0,855923572;0,634919817;0,713209924
126;Complexo do Alemão;177,3139799;0,663166906;0,833942264;0,637115674;0,711408281
